# Time(h), Volume(mL)
17.555110,1361.038462
17.603206,1372.038462
17.651303,1372.038462
17.699399,1372.038462
17.747495,1372.038462
17.795591,1372.038462
17.843687,1372.038462
17.891784,1390.038462
17.939880,1390.038462
17.987976,1399.038462
18.036072,1399.038462
18.084168,1399.038462
18.132265,1399.038462
18.180361,1399.038462
18.228457,1399.038462
18.276553,1399.038462
18.324649,1399.038462
18.372745,1399.038462
18.420842,1399.038462
18.468938,1399.038462
18.517034,1399.038462
18.565130,1399.038462
18.613226,1419.038462
18.661323,1419.038462
18.709419,1419.038462
18.757515,1419.038462
18.805611,1419.038462
18.853707,1419.038462
18.901804,1419.038462
18.949900,1419.038462
18.997996,1419.038462
19.046092,1435.192308
19.094188,1435.192308
19.142285,1435.192308
19.190381,1435.192308
19.238477,1435.192308
19.286573,1435.192308
19.334669,1435.192308
19.382766,1435.192308
19.430862,1435.192308
19.478958,1435.192308
19.527054,1435.192308
19.575150,1435.192308
19.623246,1435.192308
19.671343,1435.192308
19.719439,1452.115385
19.767535,1452.115385
19.815631,1452.115385
19.863727,1473.115385
19.911824,1490.807692
19.959920,1490.807692
20.008016,1490.807692
20.056112,1490.807692
20.104208,1490.807692
20.152305,1490.807692
20.200401,1509.269231
20.248497,1509.269231
20.296593,1509.269231
20.344689,1509.269231
20.392786,1528.500000
20.440882,1528.500000
20.488978,1536.900000
20.537074,1536.900000
20.585170,1536.900000
20.633267,1536.900000
20.681363,1536.900000
20.729459,1536.900000
20.777555,1536.900000
20.825651,1536.900000
20.873747,1556.900000
20.921844,1556.900000
20.969940,1556.900000
21.018036,1556.900000
21.066132,1556.900000
21.114228,1556.900000
21.162325,1556.900000
21.210421,1578.900000
21.258517,1578.900000
21.306613,1587.700000
21.354709,1587.700000
21.402806,1587.700000
21.450902,1587.700000
21.498998,1596.900000
21.547094,1596.900000
21.595190,1596.900000
21.643287,1596.900000
21.691383,1596.900000
21.739479,1596.900000
21.787575,1596.900000
21.835671,1606.500000
21.883768,1606.500000
21.931864,1606.500000
21.979960,1596.500000
22.028056,1596.500000
22.076152,1596.500000
22.124248,1596.500000
22.172345,1596.500000
22.220441,1619.500000
22.268537,1619.500000
22.316633,1619.500000
22.364729,1619.500000
22.412826,1624.500000
22.460922,1624.500000
22.509018,1624.500000
22.557114,1624.500000
22.605210,1624.500000
22.653307,1624.500000
22.701403,1624.500000
22.749499,1624.500000
22.797595,1624.500000
22.845691,1624.500000
22.893788,1624.500000
22.941884,1624.500000
22.989980,1634.500000
23.038076,1634.500000
23.086172,1634.500000
23.134269,1634.500000
23.182365,1634.500000
23.230461,1634.500000
23.278557,1634.500000
23.326653,1634.500000
23.374749,1634.500000
23.422846,1658.500000
23.470942,1658.500000
23.519038,1658.500000
23.567134,1658.500000
23.615230,1658.500000
23.663327,1658.500000
23.711423,1658.500000
23.759519,1658.500000
23.807615,1658.500000
23.855711,1658.500000
23.903808,1683.500000
23.951904,1683.500000
24.000000,1683.500000
